country,continent,bmi,population,lifeexp_female,life_expectancy,che_gdp_pct,gdp,status,gdp_mil,pop_mil,gdp_per_cap
Lebanon,Asia,27.4,6532678,77.6,76.1,7.7,49973893200.66,Developing,49973.89320066,6.532678,7649.832610861886
Lesotho,Africa,24.4,2059021,53.8,52.1,8.4,2289799039.8,Developing,2289.7990398,2.059021,1112.081440548688
Liberia,Africa,23.9,4472230,63.2,62.1,10.3,3177000000,Developing,3177,4.47223,710.3838577175145
Libya,Africa,27.8,6418315,75.1,72,NA,27842131479.87,Developing,27842.13147987,6.418315,4337.919139193074
Lithuania,Europe,27,2904910,79.6,74.4,6.5,41392396557.63,Developed,41392.396557629996,2.90491,14249.114966601373
Luxembourg,Europe,26.7,569604,84.7,82.4,5.5,57744457954.73,Developed,57744.45795473,0.569604,101376.49657433937
Madagascar,Africa,21.2,24234088,67.2,65.7,5.7,11323020828.58,Developing,11323.02082858,24.234088,467.23527737375554
Malawi,Africa,22.8,16745303,66,63.4,9.3,6373212640.85,Developing,6373.212640850001,16.745303,380.597033141174
Malaysia,Asia,25.6,30270962,77.5,75.1,3.9,301354756113.17,Developing,301354.75611317,30.270962,9955.242126535984
Maldives,Asia,24.9,454915,79.6,78.1,8.7,4109424799.72,Developing,4109.42479972,0.454915,9033.390412978248
Mali,Africa,22.8,17438778,57.8,57.4,4.1,13099497220.47,Developing,13099.497220469999,17.438778,751.170593516931
Malta,Europe,27.7,445053,83.2,81.5,9.2,10715545898.63,Developed,10715.54589863,0.445053,24077.01082484558
Marshall Islands,Oceania,29.5,57439,NA,NA,17.6,184599600,Developing,184.5996,0.057439,3213.8372882536255
Mauritania,Africa,24.6,4046301,65,63.7,4.7,4828858024.69,Developing,4828.858024689999,4.046301,1193.4005959245246
Mauritius,Africa,25.3,1262605,78,74.6,5.7,11692287066.38,Developing,11692.287066379999,1.262605,9260.447302505534
Mexico,North America,27.8,121858258,78.9,76.2,5.8,1170564619927.69,Developing,1170564.61992769,121.858258,9605.952351031392
Micronesia (Federated States of),Oceania,29.1,108895,70.6,69.3,12.5,316489947.49,Developing,316.48994749,0.108895,2906.377221084531
Monaco,Europe,NA,37718,NA,NA,2,6258844405.01,Developing,6258.844405010001,0.037718,165937.86534307228
Mongolia,Asia,25.9,2998439,74,69.6,4.2,11749620619.6,Developing,11749.6206196,2.998439,3918.579173896818
Montenegro,Europe,26.8,622159,79,76.6,NA,4052913385.83,Developing,4052.9133858299997,0.622159,6514.272695291718
Morocco,Africa,25.8,34663603,76.8,75.8,5.1,101179808076.36,Developing,101179.80807636,34.663603,2918.9062682364556
Mozambique,Africa,22.6,27042002,60.9,59,5.3,15950969018.95,Developing,15950.969018950002,27.042002,589.8590281499869
Myanmar,Asia,22.6,52680726,68.7,66.5,5.2,59687410896.57,Developing,59687.41089657,52.680726,1133.0028158034497
Namibia,Africa,23.7,2314904,65.7,63.4,9.9,11650656642.27,Developing,11650.65664227,2.314904,5032.889762283879
Nauru,Oceania,32.6,12475,NA,NA,13.3,99966636.16,Developing,99.96663616,0.012475,8013.357608016032
Nepal,Asia,22.3,27015031,70.5,69,6.2,21410840908.52,Developing,21410.84090852,27.015031,792.5528905933886
Netherlands,Europe,26.1,16939923,83.1,81.5,10.3,765264949781,Developed,765264.949781,16.939923,45175.23189337992
